step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
90,67408,720,0.03169335823701204,0.125,0.6666666666666666,,,,,
91,68056,728,0.03566498796392261,0.375,0.6428571428571429,,,,,
92,68768,736,0.028585760385844462,0.25,0.5714285714285714,,,,,
93,69352,744,0.02956624293854879,0.625,0.85,,,,,
94,70192,752,0.022076558876441808,0.25,0.5714285714285714,,,,,
95,71032,760,0.026624445822083787,0.25,0.5714285714285714,,,,,
96,71680,768,0.031122807970831105,0.25,0.6666666666666666,,,,,
97,72264,776,0.03451367710108065,0.125,0.631578947368421,0.0278221369466246,0.375,0.7619047619047619,,
98,73168,784,0.021596215797543273,0.375,0.6428571428571429,,,,,
99,73816,792,0.03151010001463146,0.25,0.5714285714285714,,,,,
100,74976,800,0.018918714953344486,0.25,0.6470588235294118,,,,,
101,75624,808,0.029274451414934906,0.5,0.6666666666666666,,,,,
102,76464,816,0.023177255095712238,0.375,0.7368421052631579,,,,,
103,77432,824,0.022184484025947925,0.375,0.6428571428571429,,,,,
104,78016,832,0.03250156151531883,0.25,0.6,,,,,
105,78600,840,0.028114897947336133,0.625,0.8125,0.027431892147539206,0.375,0.6875,,
106,79120,848,0.031017771260557086,0.375,0.6875,,,,,
107,79768,856,0.024874660305721594,0.5,0.7647058823529411,,,,,
108,80480,864,0.026733295592112797,0.25,0.6470588235294118,,,,,
109,81192,872,0.02917930534797133,0.25,0.5714285714285714,,,,,
110,81968,880,0.02501676561704547,0.375,0.7058823529411765,,,,,
111,82808,888,0.026588897685760456,0.375,0.5833333333333334,,,,,
112,83392,896,0.03857723638345912,0.0,0.42857142857142855,,,,,
113,84168,904,0.02639130869141885,0.125,0.5,0.03341483192380611,0.25,0.6666666666666666,,
114,85008,912,0.02598548324549081,0.375,0.6875,,,,,
115,85784,920,0.022445889885131392,0.5,0.7142857142857143,,,,,
116,86816,928,0.02688004303505494,0.125,0.5625,,,,,
117,87592,936,0.023909735857912437,0.375,0.6875,,,,,
118,88112,944,0.034933262737235966,0.375,0.75,,,,,
119,89272,952,0.019932981376340544,0.375,0.7058823529411765,,,,,
120,89728,960,0.029487671726725628,0.75,0.9,,,,,
121,90568,968,0.02339649436793514,0.5,0.8,0.03943164720351319,0.375,0.6428571428571429,,
122,91216,976,0.0324298262518696,0.375,0.6666666666666666,,,,,
123,91864,984,0.029612147520851978,0.5,0.7777777777777778,,,,,
124,92768,992,0.024454868309128738,0.125,0.5625,,,,,
