step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
90,143184,720,0.02126528403764035,0.375,0.6428571428571429,,,,,
91,144920,728,0.014515956889999975,0.5,0.75,,,,,
92,146400,736,0.018087380068469442,0.25,0.6,,,,,
93,147880,744,0.018262622748397902,0.625,0.8421052631578947,,,,,
94,149360,752,0.020005751631521317,0.25,0.6666666666666666,,,,,
95,151224,760,0.01909997617128788,0.0,0.5555555555555556,,,,,
96,152704,768,0.016111868346823884,0.5,0.7777777777777778,,,,,
97,154568,776,0.015969484765295756,0.5,0.7647058823529411,0.023023534413596086,0.125,0.5,,
98,155984,784,0.024116450156836788,0.375,0.6428571428571429,,,,,
99,157336,792,0.022747764411595532,0.375,0.7368421052631579,,,,,
100,158944,800,0.014925231220844682,0.75,0.9047619047619048,,,,,
101,160232,808,0.02135699154584026,0.5,0.6923076923076923,,,,,
102,162736,816,0.011707206986098787,0.625,0.8235294117647058,,,,,
103,164600,824,0.014388587850474553,0.375,0.6428571428571429,,,,,
104,166720,832,0.01490565670826281,0.25,0.6666666666666666,,,,,
105,168712,840,0.01505321863590946,0.375,0.6666666666666666,0.01680314544403097,0.5,0.6923076923076923,,
106,170192,848,0.022710168435723745,0.125,0.65,,,,,
107,171480,856,0.01907581112039039,0.375,0.5454545454545454,,,,,
108,173024,864,0.018691460368456172,0.25,0.7142857142857143,,,,,
109,174440,872,0.018859100609553984,0.375,0.7222222222222222,,,,,
110,176368,880,0.013993708499039036,0.625,0.8235294117647058,,,,,
111,177592,888,0.021073043053812,0.375,0.7058823529411765,,,,,
112,178944,896,0.01939545254920651,0.5,0.7333333333333333,,,,,
113,180808,904,0.013708625904192058,0.75,0.9130434782608695,0.013507690936965645,0.125,0.5333333333333333,,
114,182352,912,0.019673146929754748,0.375,0.6666666666666666,,,,,
115,184600,920,0.014038941550054397,0.375,0.6875,,,,,
116,186080,928,0.019004893644622097,0.375,0.6875,,,,,
117,188200,936,0.013986016630402462,0.5,0.7333333333333333,,,,,
118,189872,944,0.017016070272471526,0.25,0.625,,,,,
119,191416,952,0.01603391878620251,0.5,0.7142857142857143,,,,,
120,193024,960,0.01799480312267977,0.25,0.625,,,,,
121,194440,968,0.01937318721101257,0.5,0.7142857142857143,0.01943350170797514,0.25,0.6666666666666666,,
